eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PAST PROG,p3,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,p3,inf,inf,inf,0.5,inf,2.0,inf,inf,inf,inf,inf
PRES ~ PRES PART,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,p1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD could ~ MOD might,p1,inf,inf,inf,inf,inf,1.0,1.0,inf,inf,inf,inf
IMPV ~ PAST,p3,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,p3,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,p3,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,p2,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
FUT ~ FUT going-to,p2,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,p1,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,p3,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD shall,p3,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,p1,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,p3,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD must,p3,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD can,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,p3,inf,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf
??VB ~ MOD let,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,p2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,p3,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,p3,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,p1,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that be,p3,inf,inf,1.0,inf,inf,inf,inf,inf,1.0,inf,inf
MOD let ~ PRES,p2,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
